1,7,580,553,2
2,3,241,232,1
2,4,358,255,1
3,10,704,620,2
4,5,1326,1326,3
4,9,412,412,3
4,20,2160,1569,3
5,12,412,412,3
5,14,1710,1346,3
6,8,230,218,1
7,8,522,520,1
7,21,386,386,2
8,22,529,425,1
8,23,346,346,2
9,10,445,445,2
9,15,187,187,3
10,11,448,448,2
10,16,183,183,2
11,12,406,406,2
11,17,191,191,2
12,13,429,429,2
12,18,191,191,3
13,14,854,854,2
13,19,197,197,2
14,29,377,377,3
15,16,437,437,1
15,24,197,197,3
16,17,450,450,1
16,25,195,195,2
17,18,406,406,1
17,26,185,185,2
18,19,425,425,1
18,27,187,187,3
19,28,189,189,2
20,21,520,520,3
20,31,289,289,3
21,22,275,275,3
22,23,238,238,3
22,32,267,250,1
23,24,330,330,3
23,33,335,278,1
24,25,460,460,3
24,34,221,221,3
25,26,435,435,3
25,35,239,239,2
26,27,408,408,3
26,30,215,156,1
27,28,413,413,3
27,37,388,388,3
28,29,858,858,3
28,37,779,559,2
29,48,628,628,3
30,36,107,107,1
31,32,898,882,3
31,39,472,472,3
32,33,323,322,3
32,38,300,300,2
33,34,171,171,3
33,42,474,465,1
34,35,521,521,1
34,43,411,411,1
35,36,287,287,1
35,45,407,407,2
36,37,564,508,1
36,46,435,411,1
37,47,258,258,3
38,40,334,333,2
38,42,403,313,2
39,40,597,591,3
39,53,478,478,3
40,49,333,331,2
40,50,450,416,1
41,42,134,134,1
42,43,266,221,2
42,49,413,321,2
42,58,721,672,1
43,44,368,368,2
44,45,184,184,2
44,54,630,603,2
45,46,248,248,2
46,47,484,484,2
46,52,635,497,1
47,48,1293,1293,3
47,55,593,593,3
48,59,1554,1139,3
49,51,256,250,2
50,51,278,278,3
50,53,568,550,3
51,57,295,255,1
52,55,328,299,1
53,57,931,827,3
54,55,878,878,3
54,58,774,656,3
55,56,725,667,1
55,59,927,734,3
56,59,306,306,1
57,58,293,293,3
