1,1,7,580,553,2
2,2,3,241,232,1
3,2,4,358,255,1
4,3,10,704,620,2
5,4,5,1326,1326,3
6,4,9,412,412,3
7,4,20,2160,1569,3
8,5,12,412,412,3
9,5,14,1710,1346,3
10,6,8,230,218,1
11,7,8,522,520,1
12,7,21,386,386,2
13,8,22,529,425,1
14,8,23,346,346,2
15,9,10,445,445,2
16,9,15,187,187,3
17,10,11,448,448,2
18,10,16,183,183,2
19,11,12,406,406,2
20,11,17,191,191,2
21,12,13,429,429,2
22,12,18,191,191,3
23,13,14,854,854,2
24,13,19,197,197,2
25,14,29,377,377,3
26,15,16,437,437,1
27,15,24,197,197,3
28,16,17,450,450,1
29,16,25,195,195,2
30,17,18,406,406,1
31,17,26,185,185,2
32,18,19,425,425,1
33,18,27,187,187,3
34,19,28,189,189,2
35,20,21,520,520,3
36,20,31,289,289,3
37,21,22,275,275,3
38,22,23,238,238,3
39,22,32,267,250,1
40,23,24,330,330,3
41,23,33,335,278,1
42,24,25,460,460,3
43,24,34,221,221,3
44,25,26,435,435,3
45,25,35,239,239,2
46,26,27,408,408,3
47,26,30,215,156,1
48,27,28,413,413,3
49,27,37,388,388,3
50,28,29,858,858,3
51,28,37,779,559,2
52,29,48,628,628,3
53,30,36,107,107,1
54,31,32,898,882,3
55,31,39,472,472,3
56,32,33,323,322,3
57,32,38,300,300,2
58,33,34,171,171,3
59,33,42,474,465,1
60,34,35,521,521,1
61,34,43,411,411,1
62,35,36,287,287,1
63,35,45,407,407,2
64,36,37,564,508,1
65,36,46,435,411,1
66,37,47,258,258,3
67,38,40,334,333,2
68,38,42,403,313,2
69,39,40,597,591,3
70,39,53,478,478,3
71,40,49,333,331,2
72,40,50,450,416,1
73,41,42,134,134,1
74,42,43,266,221,2
75,42,49,413,321,2
76,42,58,721,672,1
77,43,44,368,368,2
78,44,45,184,184,2
79,44,54,630,603,2
80,45,46,248,248,2
81,46,47,484,484,2
82,46,52,635,497,1
83,47,48,1293,1293,3
84,47,55,593,593,3
85,48,59,1554,1139,3
86,49,51,256,250,2
87,50,51,278,278,3
88,50,53,568,550,3
89,51,57,295,255,1
90,52,55,328,299,1
91,53,57,931,827,3
92,54,55,878,878,3
93,54,58,774,656,3
94,55,56,725,667,1
95,55,59,927,734,3
96,56,59,306,306,1
97,57,58,293,293,3
